filepath,label
bolt/good/bolt_bolta_good_000.png,bolt
bolt/good/bolt_bolta_good_001.png,bolt
bolt/good/bolt_bolta_good_002.png,bolt
bolt/good/bolt_bolta_good_003.png,bolt
bolt/good/bolt_bolta_good_004.png,bolt
bolt/good/bolt_bolta_good_005.png,bolt
bolt/good/bolt_bolta_good_006.png,bolt
bolt/good/bolt_bolta_good_007.png,bolt
bolt/good/bolt_bolta_good_008.png,bolt
bolt/good/bolt_bolta_good_009.png,bolt
bolt/good/bolt_bolta_good_010.png,bolt
bolt/good/bolt_bolta_good_011.png,bolt
bolt/good/bolt_bolta_good_012.png,bolt
bolt/good/bolt_bolta_good_013.png,bolt
bolt/good/bolt_bolta_good_014.png,bolt
bolt/good/bolt_bolta_good_015.png,bolt
bolt/good/bolt_bolta_good_016.png,bolt
bolt/good/bolt_bolta_good_017.png,bolt
bolt/good/bolt_bolta_good_018.png,bolt
bolt/good/bolt_bolta_good_019.png,bolt
bolt/good/bolt_bolta_good_020.png,bolt
bolt/good/bolt_bolta_good_021.png,bolt
bolt/good/bolt_bolta_good_022.png,bolt
bolt/good/bolt_bolta_good_023.png,bolt
bolt/good/bolt_bolta_good_024.png,bolt
bolt/good/bolt_bolta_good_025.png,bolt
bolt/good/bolt_bolta_good_026.png,bolt
bolt/good/bolt_bolta_good_027.png,bolt
bolt/good/bolt_bolta_good_028.png,bolt
bolt/good/bolt_bolta_good_029.png,bolt
bolt/good/bolt_bolta_good_030.png,bolt
bolt/good/bolt_bolta_good_031.png,bolt
bolt/good/bolt_bolta_good_032.png,bolt
bolt/good/bolt_bolta_good_033.png,bolt
bolt/good/bolt_bolta_good_034.png,bolt
bolt/good/bolt_bolta_good_035.png,bolt
bolt/good/bolt_bolta_good_036.png,bolt
bolt/good/bolt_bolta_good_037.png,bolt
bolt/good/bolt_bolta_good_038.png,bolt
bolt/good/bolt_bolta_good_039.png,bolt
bolt/good/bolt_bolta_good_040.png,bolt
bolt/good/bolt_bolta_good_041.png,bolt
bolt/good/bolt_bolta_good_042.png,bolt
bolt/good/bolt_bolta_good_043.png,bolt
bolt/good/bolt_bolta_good_044.png,bolt
bolt/good/bolt_bolta_good_045.png,bolt
bolt/good/bolt_bolta_good_046.png,bolt
bolt/good/bolt_bolta_good_047.png,bolt
bolt/good/bolt_bolta_good_048.png,bolt
bolt/good/bolt_bolta_good_049.png,bolt
bolt/good/bolt_bolta_good_050.png,bolt
bolt/good/bolt_bolta_good_051.png,bolt
bolt/good/bolt_bolta_good_052.png,bolt
bolt/good/bolt_bolta_good_053.png,bolt
bolt/good/bolt_bolta_good_054.png,bolt
bolt/good/bolt_bolta_good_055.png,bolt
bolt/good/bolt_bolta_good_056.png,bolt
bolt/good/bolt_bolta_good_057.png,bolt
bolt/good/bolt_bolta_good_058.png,bolt
bolt/good/bolt_bolta_good_059.png,bolt
bolt/good/bolt_bolta_good_060.png,bolt
bolt/good/bolt_bolta_good_061.png,bolt
bolt/good/bolt_bolta_good_062.png,bolt
bolt/good/bolt_bolta_good_063.png,bolt
bolt/good/bolt_bolta_good_064.png,bolt
bolt/good/bolt_bolta_good_065.png,bolt
bolt/good/bolt_bolta_good_066.png,bolt
bolt/good/bolt_bolta_good_067.png,bolt
bolt/good/bolt_bolta_good_068.png,bolt
bolt/good/bolt_bolta_good_069.png,bolt
bolt/good/bolt_bolta_good_070.png,bolt
bolt/good/bolt_bolta_good_071.png,bolt
bolt/good/bolt_bolta_good_072.png,bolt
bolt/good/bolt_bolta_good_073.png,bolt
bolt/good/bolt_bolta_good_074.png,bolt
bolt/good/bolt_bolta_good_075.png,bolt
bolt/good/bolt_bolta_good_076.png,bolt
bolt/good/bolt_bolta_good_077.png,bolt
bolt/good/bolt_bolta_good_078.png,bolt
bolt/good/bolt_bolta_good_079.png,bolt
bolt/good/bolt_bolta_good_080.png,bolt
bolt/good/bolt_bolta_good_081.png,bolt
bolt/good/bolt_bolta_good_082.png,bolt
bolt/good/bolt_bolta_good_083.png,bolt
bolt/good/bolt_bolta_good_084.png,bolt
bolt/good/bolt_bolta_good_085.png,bolt
bolt/good/bolt_bolta_good_086.png,bolt
bolt/good/bolt_bolta_good_087.png,bolt
bolt/good/bolt_bolta_good_088.png,bolt
bolt/good/bolt_bolta_good_089.png,bolt
bolt/good/bolt_bolta_good_090.png,bolt
bolt/good/bolt_bolta_good_091.png,bolt
bolt/good/bolt_bolta_good_092.png,bolt
bolt/good/bolt_bolta_good_093.png,bolt
bolt/good/bolt_bolta_good_094.png,bolt
bolt/good/bolt_bolta_good_095.png,bolt
bolt/good/bolt_bolta_good_096.png,bolt
bolt/good/bolt_bolta_good_097.png,bolt
bolt/good/bolt_bolta_good_098.png,bolt
bolt/good/bolt_bolta_good_099.png,bolt
bolt/good/bolt_bolta_good_100.png,bolt
bolt/good/bolt_bolta_good_101.png,bolt
